image_name,image_path,english_summary,bangla_summary
train_k_5084.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5084.png,"The chart illustrates the out-of-school rate for children of lower secondary school age in Peru from 1970 to 2020. The primary trend shows a significant decline in the out-of-school rate over the decades, with a steep drop between 1970 and 1980. However, there is a noticeable upward spike around 2005, followed by another sharp increase in 2011, indicating potential issues or disruptions in education access during those periods. The overall improvement suggests progress in educational inclusion, but the anomalies highlight challenges that need further investigation.","চার্টটি 1970 থেকে 2020 পর্যন্ত পেরুতে নিম্ন মাধ্যমিক বিদ্যালয়ের বয়সের শিশুদের জন্য স্কুল ছাড়ার হারকে চিত্রিত করে। প্রাথমিক প্রবণতা দশকগুলিতে স্কুল ছাড়ার হারের উল্লেখযোগ্য হ্রাস দেখায়, 1970 থেকে 1980 এর মধ্যে তীব্র পতনের সাথে। তবে, 2005 সালের কাছাকাছি একটি উল্লেখযোগ্য উত্থান ঘটেছে, এর পরে 2011 সালে আরেকটি তীব্র বৃদ্ধি ঘটেছে, যা সেই সময়কালে শিক্ষার অ্যাক্সেসের সম্ভাব্য সমস্যা বা ব্যাঘাতগুলি নির্দেশ করে। সামগ্রিক উন্নতি শিক্ষার অন্তর্ভুক্তিতে অগ্রগতি নির্দেশ করে, তবে অস্বাভাবিকতা আরও তদন্তের প্রয়োজন এমন চ্যালেঞ্জগুলি তুলে ধরে।"
train_k_5085.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5085.png,"The chart illustrates Azerbaijan's Human Development Index over time, showing a consistent upward trend from 1995 to 2020. The index value increases steadily, reaching its peak around 2018, indicating significant improvements in human development across various dimensions such as health, education, and standard of living. A slight dip in the mid-2000s suggests a temporary setback, but overall, the positive trajectory underscores Azerbaijan's progress towards becoming more developed compared to other nations.","চার্টটি সময়ের সাথে সাথে আজারবাইজানের হিউম্যান ডেভেলপমেন্ট ইনডেক্সকে চিত্রিত করে, যা ১৯৯৫ থেকে ২০২০ সাল পর্যন্ত একটি ধারাবাহিক আপগ্রেড প্রবণতা দেখায়। সূচকের মান ধারাবাহিকভাবে বৃদ্ধি পায়, প্রায় ২০১৮ সালে এটি শীর্ষে পৌঁছে যায়, যা স্বাস্থ্য, শিক্ষা এবং জীবনযাত্রার মানের মতো বিভিন্ন মাত্রায় মানব উন্নয়নে উল্লেখযোগ্য উন্নতি নির্দেশ করে। ২০০০ এর দশকের মাঝামাঝি সময়ে সামান্য পতনের পরামর্শ দেওয়া হয় একটি অস্থায়ী বিপর্যয়, তবে সামগ্রিকভাবে, ইতিবাচক ট্র্যাজেক্টরিটি অন্যান্য জাতির তুলনায় আরও উন্নত হওয়ার দিকে আজারবাইজানের অগ্রগতিকে জোর দেয়।"
train_k_5086.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5086.png,"The chart illustrates the overlap between surface water and groundwater in Peru from 1960 to 2020. The y-axis represents the overlap value, ranging from approximately 290 to 315, while the x-axis denotes the years. Throughout the entire period, the overlap remains remarkably stable, hovering around 305. This consistent trend suggests a lack of significant changes in the interaction between surface water and groundwater systems over the decades. The absence of fluctuations indicates a relatively stable hydrological balance in the region, which could be attributed to consistent climatic conditions or effective water management practices.","এই চার্টটি ১৯৬০ থেকে ২০২০ সাল পর্যন্ত পেরুতে পৃষ্ঠতল এবং ভূগর্ভস্থ জলের মধ্যে ওভারল্যাপের চিত্রিত করে। y-অক্ষটি ওভারল্যাপের মানকে প্রতিনিধিত্ব করে, যা প্রায় ২৯০ থেকে ৩১৫ পর্যন্ত, যখন এক্স-অক্ষটি বছরগুলিকে নির্দেশ করে। পুরো সময়ের মধ্যে, ওভারল্যাপটি উল্লেখযোগ্যভাবে স্থিতিশীল থাকে, প্রায় ৩০৫। এই ধারাবাহিক প্রবণতা দশক ধরে পৃষ্ঠতল এবং ভূগর্ভস্থ জলের সিস্টেমের মধ্যে মিথস্ক্রিয়াতে উল্লেখযোগ্য পরিবর্তনগুলির অভাবকে নির্দেশ করে। ভ্রুক্ষেপের অনুপস্থিতি অঞ্চলটিতে অপেক্ষাকৃত স্থিতিশীল জলবায়ু ভারসাম্যকে নির্দেশ করে, যা ধারাবাহিক জলবায়ু শর্ত বা কার্যকর জল পরিচালনার অনুশীলনের কারণে হতে পারে।"
train_k_5087.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5087.png,"The chart illustrates the growth in personal, cultural, and recreational services exports in Peru from 2005 to 2019. The primary trend is a significant upward trajectory, with exports increasing from nearly zero in 2005 to over 12 units by 2019. A notable anomaly occurs around 2007 when there's a sharp decline before the overall growth resumes. This surge in exports suggests a growing international demand for Peru's cultural and recreational offerings, potentially driven by increased tourism and global interest in Peruvian traditions and attractions.","চার্টটি ২০০৫ থেকে ২০১৯ সাল পর্যন্ত পেরুতে ব্যক্তিগত, সাংস্কৃতিক এবং বিনোদনমূলক পরিষেবা রপ্তানি বৃদ্ধির চিত্রিত করে। প্রাথমিক প্রবণতা একটি উল্লেখযোগ্য আপগ্রেড ট্র্যাজেক্টরি, ২০০৫ সালে প্রায় শূন্য থেকে ২০১৯ সালের মধ্যে ১২ টিরও বেশি ইউনিট পর্যন্ত রপ্তানি বৃদ্ধি পায়। ২০০৭ সালের দিকে একটি উল্লেখযোগ্য অস্বাভাবিকতা ঘটে যখন সামগ্রিক বৃদ্ধি পুনরায় শুরু হওয়ার আগে তীব্র হ্রাস ঘটে। এই রপ্তানিতে এই উত্থান পেরুর সাংস্কৃতিক এবং বিনোদনমূলক অফারগুলির জন্য আন্তর্জাতিক চাহিদা বাড়ার পরামর্শ দেয়, যা সম্ভাব্যভাবে পর্যটন এবং পেরু ঐতিহ্য এবং আকর্ষণগুলিতে বিশ্বব্যাপী আগ্রহের বৃদ্ধি দ্বারা চালিত হয়।"
train_k_5088.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5088.png,"The chart illustrates a steady decline in the number of pharmacists in Peru from 2009 to 2012. The number of pharmacists decreased from approximately 1850 in 2009 to about 1500 by 2012. This consistent downward trend suggests a potential shortage of pharmacists in the country during this period, which could have implications for public health services and patient care availability.","এই চার্টটি পেরুতে ২০০৯ থেকে ২০১২ সাল পর্যন্ত ফার্মাসিস্টদের সংখ্যা ধ্রুবক হ্রাস পেয়েছে। ফার্মাসিস্টদের সংখ্যা ২০০৯ সালে প্রায় ১৮৫০ থেকে ২০১২ সালের মধ্যে প্রায় ১৫০০-এ কমেছে। এই ধারাবাহিক হ্রাসের প্রবণতা এই সময়ের মধ্যে দেশে ফার্মাসিস্টদের সম্ভাব্য ঘাটতিকে নির্দেশ করে, যা জনস্বাস্থ্য পরিষেবা এবং রোগীর যত্নের উপলব্ধতার জন্য প্রভাব ফেলতে পারে।"
train_k_5089.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5089.png,"The chart illustrates the number of physicians in Peru over a period from 1998 to 2012. The y-axis represents the number of physicians, while the x-axis denotes the years. Initially, there is a gradual decline in the number of physicians until around 2009, where it sharply increases, reaching its peak by 2012. This significant upward trend after 2009 suggests a potential increase in healthcare demand or improved training programs, leading to a surge in the physician workforce.","এই চার্টটি 1998 থেকে 2012 এর সময়কালে পেরুতে ডাক্তারদের সংখ্যা চিত্রিত করে। y-অক্ষ ডাক্তারদের সংখ্যাকে প্রতিনিধিত্ব করে, যখন x-অক্ষ বছরগুলিকে নির্দেশ করে। প্রাথমিকভাবে, ২০০৯ সালের দিকে পর্যন্ত ডাক্তারদের সংখ্যা ধীরে ধীরে হ্রাস পায়, যেখানে এটি তীব্রভাবে বৃদ্ধি পায়, ২০১২ সালের মধ্যে এটি চূড়ান্ত পর্যায়ে পৌঁছে যায়। ২০০৯ সালের পরে এই উল্লেখযোগ্য উত্থান প্রবণতা স্বাস্থ্যসেবা চাহিদা বা উন্নত প্রশিক্ষণ কর্মসূচির সম্ভাব্য বৃদ্ধিকে নির্দেশ করে, যা চিকিত্সক কর্মীদের উত্থানের দিকে পরিচালিত করে।"
train_k_5090.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5090.png,"The chart illustrates the population density of Peru over time, from 1950 to 2020. The y-axis represents population density in individuals per square kilometer, while the x-axis denotes the years. The population density has steadily increased throughout the period, starting at approximately 6 individuals per square kilometer in 1950 and reaching nearly 26 individuals per square kilometer by 2020. This consistent upward trend indicates a significant growth in Peru's population density over the decades. Notably, there is a noticeable acceleration in the rate of increase around the year 2000, suggesting a period of rapid urbanization or migration into the country. This growth has substantial implications for resource allocation, infrastructure development, and environmental sustainability, highlighting the need for strategic planning to manage the increasing population density effectively.","এই চার্টটি 1950 থেকে 2020 পর্যন্ত সময়ের সাথে সাথে পেরুর জনসংখ্যার ঘনত্বকে চিত্রিত করে। y-অক্ষ প্রতি বর্গকিলোমিটারে ব্যক্তিদের জনসংখ্যার ঘনত্বকে প্রতিনিধিত্ব করে, যখন x-অক্ষ বছরগুলিকে নির্দেশ করে। জনসংখ্যার ঘনত্ব এই সময়ের মধ্যে ধারাবাহিকভাবে বৃদ্ধি পেয়েছে, 1950 সালে প্রতি বর্গকিলোমিটারে প্রায় 6 জন ব্যক্তি থেকে শুরু করে 2020 সালের মধ্যে প্রতি বর্গকিলোমিটারে প্রায় 26 জন ব্যক্তিতে পৌঁছেছে। এই ধারাবাহিক আপগ্রেড প্রবণীতে দশক ধরে পেরুর জনসংখ্যার ঘনত্বের উল্লেখযোগ্য বৃদ্ধি নির্দেশ করে। উল্লেখযোগ্যভাবে, 2000 সালের আশেপাশে বৃদ্ধির হার উল্লেখযোগ্যভাবে ত্বরণ করছে, যা দেশটিতে দ্রুত নগরায়ন বা অভিবাসনের সময়সূচীকে নির্দেশ করে। এই বৃদ্ধি সম্পদের বরাদ্দ, অবকাঠনের উন্নয়ন এবং পরিবেশগত স্থিতিশীলতার জন্য উল্লেখযোগ্য প্রভাব ফেলেছে, যা জনসংখ্যার ঘনত্ব কার্যকরভাবে পরিচালনা করার জন্য কৌশলগত পরিকল্পনা করার প্রয়োজনীয়তাকে তুলে ধরেছে।"
train_k_5091.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5091.png,"The chart illustrates Angola's construction services exports in current prices over a period from 2005 to 2020. The primary trend shows a significant spike in exports around 2010, followed by a sharp decline and near-zero values for the subsequent years. This anomaly suggests a major event or change in Angola's construction sector during that period, possibly linked to infrastructure development or international investment. The subsequent stagnation implies a lack of sustained growth in this sector post-2010, highlighting potential challenges or shifts in Angola's economic landscape.","চার্টটি ২০০৫ থেকে ২০২০ সালের মধ্যে বর্তমান মূল্যের মধ্যে অ্যাঙ্গোলার নির্মাণ পরিষেবাদির রপ্তানিকে চিত্রিত করে। প্রাথমিক প্রবণতা ২০১০ সালের আশেপাশে রপ্তানিতে উল্লেখযোগ্য বৃদ্ধি দেখায়, এর পরে পরবর্তী বছরগুলিতে একটি তীব্র হ্রাস এবং প্রায় শূন্য মানের অনুসরণ করে। এই অস্বাভাবিকতা এঙ্গোলার নির্মাণ খাতের একটি বড় ঘটনা বা পরিবর্তনের পরামর্শ দেয় সেই সময়ের মধ্যে, সম্ভবত অবকাঠামো উন্নয়ন বা আন্তর্জাতিক বিনিয়োগের সাথে সম্পর্কিত। পরবর্তী স্থগিতকরণ 2010 সালের পরে এই খাতের ধারাবাহিক বৃদ্ধির অভাবকে বোঝায়, যা অ্যাঙ্গোলার অর্থনৈতিক দৃশ্যে সম্ভাব্য চ্যালেঞ্জ বা পরিবর্তনগুলি তুলে ধরে।"
train_k_5092.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5092.png,"The population growth rate in Peru shows a significant decline over the past seven decades, starting from a peak around 1960 and continuing to decrease until reaching a low point in the early 2000s. However, there is a noticeable upward spike between 2010 and 2015, indicating a temporary increase in growth. This pattern suggests a shift in demographic trends, possibly influenced by changes in fertility rates and migration policies. The overall decline reflects broader socio-economic factors such as improved access to education and healthcare, which have historically contributed to lower birth rates.","পেরুতে জনসংখ্যা বৃদ্ধির হার গত সাত দশকে উল্লেখযোগ্যভাবে হ্রাস পেয়েছে, 1960 এর দশকের শীর্ষ থেকে শুরু করে এবং 2000 এর দশকের শুরুতে নিম্নতম স্তরে পৌঁছানোর পর্যন্ত হ্রাস অব্যাহত রেখেছে। তবে, 2010 এবং 2015 এর মধ্যে একটি উল্লেখযোগ্য উত্থান রয়েছে, যা বৃদ্ধির অস্থায়ী বৃদ্ধি নির্দেশ করে। এই নিদর্শনটি জনসংখ্যার প্রবণতা পরিবর্তনের পরামর্শ দেয়, সম্ভবত প্রজনন হার এবং অভিবাসন নীতিতে পরিবর্তন দ্বারা প্রভাবিত। সামগ্রিক হ্রাস বৃহত্তর সামাজিক-অর্থনৈতিক কারণগুলি যেমন শিক্ষার এবং স্বাস্থ্যসেবার আরও ভাল অ্যাক্সেস প্রতিফলিত করে, যা ঐতিহাসিকভাবে নিম্ন জন্মহারে অবদান রেখেছে।"
train_k_5093.png,data\extracted\AntuToDo10-20260511T040828Z-3-001\AntuToDo10\train_k_5093.png,"The primary completion rate for primary education in Peru shows a general upward trend over the years, starting from around 65% in 1970 and reaching above 95% by 2015. However, there is a significant dip between 2010 and 2015, where the rate drops to nearly 90%. This decline could be attributed to various factors such as economic downturns or changes in educational policies during that period. The overall improvement in primary education completion rates indicates a positive shift towards better access to basic education, which has significant implications for future economic development and social mobility in Peru.","পেরুতে প্রাথমিক শিক্ষার সমাপ্তির হার বছরের পর বছর ধরে একটি সাধারণ আপগ্রেড প্রবণতা দেখায়, যা প্রায় 65% থেকে শুরু হয় 1970 সালে এবং 2015 সালের মধ্যে 95% এর উপরে পৌঁছে যায়। তবে, 2010 এবং 2015 এর মধ্যে উল্লেখযোগ্যভাবে হ্রাস পায়, যেখানে হার প্রায় 90% পর্যন্ত পড়ে। এই হ্রাসটি বিভিন্ন কারণের কারণে হতে পারে যেমন অর্থনৈতিক মন্দা বা সেই সময়ের মধ্যে শিক্ষামূলক নীতিতে পরিবর্তন। প্রাথমিক শিক্ষার সমাপ্তির হারগুলির সামগ্রিক উন্নতি প্রাথমিক শিক্ষার আরও ভাল অ্যাক্সেসের দিকে ইতিবাচক পরিবর্তন নির্দেশ করে, যা পেরুতে ভবিষ্যতের অর্থনৈতিক উন্নয়ন এবং সামাজিক গতিশীলতার জন্য উল্লেখযোগ্য প্রভাব ফেলে।"
