image_name,image_path,english_summary,bangla_summary
train_k_5084.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5084.png,"The chart illustrates the out-of-school rate for children of lower secondary school age in Peru from 1970 to 2019. Over the years, there has been a general decline in the out-of-school rate, indicating improvements in educational access and enrollment. However, there were significant fluctuations during the early 2000s and late 2010s, suggesting periods of increased dropout rates. The highest peak occurred around 1975, while the lowest point was observed in the mid-2010s. This trend highlights the need for sustained efforts in education policies to maintain and improve educational outcomes.","চার্টটি 1970 থেকে 2019 পর্যন্ত পেরুতে নিম্ন মাধ্যমিকের বয়সের শিশুদের জন্য স্কুল ছাড়ার হারকে চিত্রিত করে। বছরের পর বছর ধরে, স্কুল ছাড়ার হারটি সর্বজনীন হ্রাস পেয়েছে, যা শিক্ষাগত অ্যাক্সেস এবং তালিকাভুক্তকরণের উন্নতি নির্দেশ করে। তবে, 2000 এর দশকের শুরুতে এবং 2010 এর দশকের শেষের দিকে উল্লেখযোগ্যভাবে পরিবর্তিত হয়েছিল, যা বর্ধিত ড্রপআউট হারগুলির সময়কালকে নির্দেশ করে। সর্বোচ্চ শিখরটি 1975 সালের দিকে ঘটেছিল, যখন সর্বনিম্ন পয়েন্টটি 2010 এর দশকের মাঝামাঝি সময়ে পর্যবেক্ষণ করা হয়েছিল। এই প্রবণতা শিক্ষার ফলাফল বজায় রাখতে এবং উন্নত করতে শিক্ষানীতিতে ধারাবাহিক প্রচেষ্টার প্রয়োজনকে তুলে ধরে।"
train_k_5085.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5085.png,"The chart illustrates Azerbaijan's Human Development Index (HDI) from 1995 to 2019, with the index ranging from 0.60 to 0.76. The primary takeaway is that Azerbaijan has experienced a significant upward trend in its HDI over the years, indicating improvements in various aspects of human development such as life expectancy, education, and income. By 2019, the HDI reached its highest point, suggesting substantial progress in these areas. A notable anomaly is the dip in the early 2000s, which could be attributed to economic challenges during that period. This real-world significance underscores the importance of addressing economic and social issues to maintain and further improve human development indices.","এই চার্টটি ১৯৯৫ থেকে ২০১৯ সাল পর্যন্ত আজারবাইজানের হিউম্যান ডেভেলপমেন্ট ইনডেক্স (এইচডিআই) চিত্রিত করে। সূচকটি ০.৬০ থেকে ০.৭৬ সাল পর্যন্ত। প্রাথমিক তথ্যটি হ'ল আজারবাইজান বছরের পর বছর ধরে তার এইচডিআইতে উল্লেখযোগ্যভাবে আপগ্রেডের প্রবণতা অনুভব করেছে, যা মানুষের বিকাশের বিভিন্ন দিক যেমন আয়, শিক্ষা এবং আয়ের উন্নতি নির্দেশ করে। ২০১৯ সালের মধ্যে এইচডিআই এই ক্ষেত্রে উল্লেখযোগ্য অগ্রগতি প্রস্তাব করে তার সর্বোচ্চ পয়েন্ট পৌঁছেছে। একটি উল্লেখযোগ্য অস্বাভাবিকতা হ'ল ২০০০ এর দশকের প্রথম দিকে পতন, যা সেই সময়ের মধ্যে অর্থনৈতিক চ্যালেঞ্জের কারণে দায়ী করা যেতে পারে। এই বাস্তব-বিশ্বের গুরুত্ব মানব উন্নয়ন সূচক বজায় রাখতে এবং আরও উন্নত করতে অর্থনৈতিক এবং সামাজিক সমস্যাগুলি মোকাবেলার গুরুত্বকে জোর দেয়।"
train_k_5086.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5086.png,"The chart illustrates the overlap between surface water and groundwater in Peru over a period from 1960 to 2020. The primary trend shows a relatively stable and consistent overlap value around 325 units throughout the entire period. There is no significant upward or downward trend observed, indicating that the relationship between surface water and groundwater remains relatively constant. Anomaly-wise, there is no noticeable fluctuation or deviation from this trend, suggesting that the environmental conditions affecting these resources have remained relatively stable during the observed timeframe. This stability is crucial for sustainable water management practices, as it implies that current strategies and policies may not require major adjustments to address potential future changes in water availability.","চার্টটি ১৯৬০ থেকে ২০২০ সালের মধ্যে পেরুর পৃষ্ঠতল এবং ভূগর্ভস্থ জলের মধ্যে ওভারল্যাপের চিত্র তুলে ধরে। প্রাথমিক প্রবণতা পুরো সময়ের মধ্যে প্রায় ৩২৫ ইউনিটের তুলনামূলকভাবে স্থিতিশীল এবং ধারাবাহিক ওভারল্যাপের মান দেখায়। কোনও উল্লেখযোগ্য আপ বা ডাউন প্রবণতা পর্যবেক্ষণ করা হয়নি, যা ইঙ্গিত দেয় যে পৃষ্ঠতল এবং ভূগর্ভস্থ জলের মধ্যে সম্পর্ক তুলনামূলকভাবে স্থিতিশীল রয়েছে। অস্বাভাবিকভাবে, এই প্রবণতার থেকে কোনও উল্লেখযোগ্য পরিবর্তন বা বিচ্যুতি নেই, যা পরামর্শ দেয় যে এই সম্পদগুলিকে প্রভাবিত করে পরিবেশগত অবস্থার পর্যবেক্ষণ করা সময়কালের মধ্যে তুলনামূলকভাবে স্থিতিশীল রয়েছে। এই স্থিতিশীলতা টেকসই জলের ব্যবস্থাপনা অনুশীলনের জন্য গুরুত্বপূর্ণ, কারণ এটি বোঝায় যে বর্তমান কৌশল এবং নীতিগুলি জল প্রাপ্যতার সম্ভাব্য ভবিষ্যতে মোকাবেলায় বড় পরিবর্তনগুলির প্রয়োজন হতে পারে না।"
train_k_5087.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5087.png,"The chart illustrates the export of personal, cultural, and recreational services in Peru from 2005 to 2019. The primary trend shows a significant increase over the years, starting from a very low value around 2005 and reaching a peak in 2019. This upward trend is particularly pronounced after 2015, where the exports nearly tripled compared to the previous year. Notably, there was a dip in 2010, which could be attributed to economic or market fluctuations during that period. The real-world significance of this trend lies in its potential to reflect growing demand for cultural and recreational services both domestically and internationally, which could have implications for local economies and tourism sectors.","চার্টটি ২০০৫ থেকে ২০১৯ সাল পর্যন্ত পেরুতে ব্যক্তিগত, সাংস্কৃতিক এবং বিনোদনমূলক পরিষেবার রপ্তানিকে চিত্রিত করে। প্রাথমিক প্রবণতা বছরের পর বছর ধরে উল্লেখযোগ্য বৃদ্ধি দেখায়, ২০০৫ সালের কাছাকাছি খুব কম মান থেকে শুরু করে এবং ২০১৯ সালে চূড়ান্ত শিখরে পৌঁছেছে। এই আপগ্রেড প্রবণতা বিশেষত ২০১৫ সালের পরে স্পষ্ট, যেখানে রপ্তানি পূর্ববর্তী বছরের তুলনায় প্রায় তিনগুণ বেড়েছে। বিশেষত, ২০১০ সালে একটি পতন ঘটেছিল, যা সেই সময়ের মধ্যে অর্থনৈতিক বা বাজার পরিবর্তনের কারণে দায়ী হতে পারে। এই প্রবণতার বাস্তব-বিশ্বের গুরুত্ব হ'ল দেশীয় এবং আন্তর্জাতিকভাবে সাংস্কৃতিক এবং বিনোদনমূলক পরিষেবার জন্য ক্রমবর্ধমান চাহিদা প্রতিফলিত করার সম্ভাবনা রয়েছে, যা স্থানীয় অর্থনীতি এবং পর্যটন খাতের জন্য প্রভাব ফেলতে পারে।"
train_k_5088.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5088.png,"The chart illustrates the number of pharmacists in Peru from 2009 to 2012, showing a consistent decline over the years. In 2009, there were approximately 1850 pharmacists, which steadily decreased to around 1500 by 2012. This trend suggests a possible reduction in the healthcare workforce specializing in pharmacy during this period. Anomaly-wise, there is no significant fluctuation; the decrease is linear and gradual. The real-world implication of this trend could be a potential shortage of pharmacists, affecting the availability of specialized healthcare services and potentially impacting patient care quality.","এই চার্টটি 2009 থেকে 2012 পর্যন্ত পেরুতে ফার্মাসিস্টদের সংখ্যাকে চিত্রিত করে, যা বছরের পর বছর ধরে ধারাবাহিক হ্রাস দেখায়। 2009 সালে, সেখানে প্রায় 1850 ফার্মাসিস্ট ছিল, যা 2012 সালের মধ্যে প্রায় 1500 এ ক্রমাগত হ্রাস পেয়েছে। এই প্রবণতা এই সময়ের মধ্যে ফার্মাসিতে বিশেষজ্ঞ স্বাস্থ্যসেবা কর্মীদের সম্ভাব্য হ্রাসের পরামর্শ দেয়। অস্বাভাবিকভাবে, কোনও উল্লেখযোগ্য পরিবর্তন নেই; হ্রাসটি লিনিয়ার এবং ধীরে ধীরে হয়। এই প্রবণতার বাস্তব জগতে প্রভাব ফার্মাসিস্টদের সম্ভাব্য ঘাটতি হতে পারে, বিশেষ স্বাস্থ্যসেবা পরিষেবাদির উপলব্ধতার উপর প্রভাব ফেলে এবং সম্ভাব্যভাবে রোগীর যত্নের মানের উপর প্রভাব ফেলতে পারে।"
train_k_5089.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5089.png,"The chart illustrates the number of physicians in Peru from 2000 to 2012. Initially, there is a steady increase in the number of physicians until around 2008, where there is a noticeable dip. This dip could be attributed to various factors such as economic challenges or changes in healthcare policies. After this dip, there is a significant rise in the number of physicians, reaching a peak in 2012. The overall trend shows a positive growth in the number of physicians over the years, indicating improvements in healthcare infrastructure and possibly increased investment in medical education. However, the dip in 2008 suggests a period of potential strain on the healthcare system, which may have required adjustments in staffing and resources.","এই চার্টটি ২০০০ থেকে ২০১২ সাল পর্যন্ত পেরুতে ডাক্তারদের সংখ্যাকে চিত্রিত করে। প্রাথমিকভাবে, ২০০৮ সালের দিকে ডাক্তারদের সংখ্যা ধারাবাহিকভাবে বৃদ্ধি পায়, যেখানে উল্লেখযোগ্যভাবে হ্রাস পায়। এই হ্রাসটি অর্থনৈতিক চ্যালেঞ্জ বা স্বাস্থ্যসেবা নীতিতে পরিবর্তনগুলির মতো বিভিন্ন কারণের কারণে হতে পারে। এই হ্রাসের পরে, ডাক্তারদের সংখ্যায় উল্লেখযোগ্য বৃদ্ধি ঘটে, ২০১২ সালে শীর্ষে পৌঁছেছে। সামগ্রিক প্রবণতা বছরের পর বছর ধরে ডাক্তারদের সংখ্যায় ইতিবাচক বৃদ্ধি দেখায়, যা স্বাস্থ্যসেবা পরিকাঠামোর উন্নতি এবং সম্ভবত চিকিৎসা শিক্ষায় বিনিয়োগের বৃদ্ধি নির্দেশ করে। তবে ২০০৮ সালে হ্রাস স্বাস্থ্যসেবা ব্যবস্থার উপর সম্ভাব্য চাপের সময়কালের পরামর্শ দেয়, যা কর্মসংস্থান এবং সংস্থানগুলিতে সংশোধন প্রয়োজন হতে পারে।"
train_k_5090.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5090.png,"The chart illustrates the population density of Peru over time, showing a steady increase from around 3.5 in 1950 to approximately 26 by 2020. The trend is linear, indicating consistent growth without significant fluctuations. A notable anomaly is the slight dip between 1970 and 1980, which could be attributed to economic or social factors affecting population movement. This real-world significance highlights the importance of understanding demographic trends for effective resource allocation and planning in densely populated areas like Peru.","এই চার্টটি সময়ের সাথে সাথে পেরুর জনসংখ্যার ঘনত্বকে চিত্রিত করে, 1950 সালে প্রায় 3.5 থেকে 2020 সালের মধ্যে প্রায় 26 এ ধারাবাহিক বৃদ্ধি দেখায়। প্রবণতাটি লিনিয়ার, উল্লেখযোগ্য পরিবর্তন ছাড়াই ধারাবাহিক বৃদ্ধি নির্দেশ করে। 1970 এবং 1980 এর মধ্যে একটি উল্লেখযোগ্য অস্বাভাবিকতা হ'ল সামান্য পতন, যা জনসংখ্যার চলাচলের উপর প্রভাব ফেলার অর্থনৈতিক বা সামাজিক কারণগুলির কারণে দায়ী হতে পারে। এই বাস্তব-বিশ্বের গুরুত্ব পেরুর মতো ঘন জনবহুল অঞ্চলে কার্যকর সম্পদ বরাদ্দ এবং পরিকল্পনা করার জন্য জনসংখ্যার প্রবণতা বোঝার গুরুত্বকে তুলে ধরে।"
train_k_5091.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5091.png,"The chart illustrates Angola's construction services exports in current prices from 2006 to 2020. The primary trend shows a significant increase in exports starting around 2010, reaching a peak in 2010 before sharply declining. This peak is notably higher than the levels observed in previous years, indicating a substantial surge in the export of construction services during this period. However, the subsequent decline suggests a potential economic downturn or changes in market conditions affecting the sector. Notably, there is a noticeable dip in exports around 2012, which could be attributed to external factors such as global economic crises or policy changes. The overall trend highlights the volatility in Angola's construction services sector, with periods of rapid growth followed by significant declines, which could have implications for the country's economic stability and development strategies.","চার্টটি ২০০৬ থেকে ২০২০ সাল পর্যন্ত বর্তমান মূল্যের মধ্যে অ্যাঙ্গোলার নির্মাণ পরিষেবাদির রপ্তানিকে চিত্রিত করে। প্রাথমিক প্রবণতা ২০১০ সালের দিকে শুরু হওয়া রপ্তানিতে উল্লেখযোগ্য বৃদ্ধি দেখায়, যা ২০১০ সালে চূড়ান্ত পর্যায়ে পৌঁছেছিল, তার আগে তীব্র হ্রাস পেয়েছিল। এই চূড়ান্ত স্তরটি পূর্ববর্তী বছরগুলিতে পর্যবেক্ষণ করা স্তরের তুলনায় উল্লেখযোগ্যভাবে বেশি, যা এই সময়ের মধ্যে নির্মাণ পরিষেবাদির রপ্তানিতে উল্লেখযোগ্য বৃদ্ধি নির্দেশ করে। তবে পরবর্তী হ্রাসটি এই খাতকে প্রভাবিত করে এমন সম্ভাব্য অর্থনৈতিক মন্দা বা বাজারের অবস্থার পরিবর্তনকে নির্দেশ করে। বিশেষত, ২০১২ সালের দিকে রপ্তানিতে উল্লেখযোগ্য হ্রাস রয়েছে, যা বৈশ্বিক অর্থনৈতিক সংকট বা নীতিগত পরিবর্তনগুলির মতো বাহ্যিক কারণগুলির কারণে দায়ী হতে পারে। সামগ্রিক প্রবণতাটি আঙ্গোলার নির্মাণ খাতের অস্থিরতাকে তুলে ধরে, যার পরে দ্রুত বৃদ্ধির উল্লেখযোগ্য সময়কাল হ্রাসের সাথে সাথে, যার ফলে দেশের অর্থনৈতিক স্থিতিশীলতা এবং উন্নয়ন কৌশলগুলির জন্য প্রভাব থাকতে পারে।"
train_k_5092.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5092.png,"The population growth rate in Peru has shown a significant decline over the past few decades. From its peak around 1960, the rate has steadily decreased to a low point in the early 2000s, where it remained relatively stable until 2010. Since then, there has been a noticeable increase, reaching a peak in 2015 before declining again. This trend is likely influenced by improvements in healthcare, education, and economic development, which have contributed to lower birth rates and higher life expectancy. The sharp rise in the late 2010s could be attributed to external factors such as migration or changes in immigration policies. Overall, this data highlights the complex interplay between social, economic, and environmental factors affecting population dynamics in Peru.","পেরুতে জনসংখ্যা বৃদ্ধির হার গত কয়েক দশকে উল্লেখযোগ্যভাবে হ্রাস পেয়েছে। ১৯৬০ এর দশকের শীর্ষে থেকে, হারটি ধারাবাহিকভাবে নিম্নতম স্তরে হ্রাস পেয়েছে, যেখানে এটি ২০১০ সাল পর্যন্ত অপেক্ষাকৃত স্থিতিশীল ছিল। তারপর থেকে, এটি উল্লেখযোগ্যভাবে বৃদ্ধি পেয়েছে, ২০১৫ সালে শীর্ষে পৌঁছেছে এবং আবার হ্রাস পেয়েছে। এই প্রবণতা সম্ভবত স্বাস্থ্যসেবা, শিক্ষা এবং অর্থনৈতিক উন্নয়নের উন্নতি দ্বারা প্রভাবিত হয়েছে, যা কম জন্মহার এবং উচ্চতর জীবনকালের প্রত্যাশায় অবদান রেখেছে। ২০১০ এর দশকের শেষের দিকে তীব্র বৃদ্ধি বিদেশী কারণগুলির যেমন অভিবাসন বা অভিবাসন নীতিতে পরিবর্তনগুলির কারণে হতে পারে। সামগ্রিকভাবে, এই তথ্যগুলি পেরুতে জনসংখ্যার গতিশীলতা প্রভাবিত করে এমন সামাজিক, অর্থনৈতিক এবং পরিবেশগত কারণগুলির মধ্যে জটিল মিথস্ক্রিয়াকে তুলে ধরে।"
train_k_5093.png,data\extracted\antu_todo_200_charts\AntuToDo10\train_k_5093.png,"The primary completion rate for primary education in Peru has shown a significant upward trend over the past few decades. From around 50% in the early 1970s, it has steadily increased to nearly 100% by the end of the millennium. However, there have been several fluctuations and plateaus during this period, indicating periods of both improvement and setbacks. Notably, the rate reached its peak in the late 2010s, surpassing 105%, which is a remarkable achievement considering the global context. This trend highlights the country's progress in educational attainment but also underscores the importance of maintaining and improving educational policies to sustain such high rates.","পেরুতে প্রাথমিক শিক্ষার সমাপ্তির হার গত কয়েক দশকে উল্লেখযোগ্যভাবে বৃদ্ধি পেয়েছে। ১৯৭০ এর দশকের শুরুতে প্রায় ৫০% থেকে এটি সহস্রাব্দের শেষের দিকে প্রায় ১০০% এ ক্রমাগত বৃদ্ধি পেয়েছে। তবে এই সময়ের মধ্যে বেশ কয়েকটি স্বচ্ছতা এবং উপত্যকা রয়েছে, যা উন্নতি এবং বিপর্যয়ের সময়গুলি নির্দেশ করে। বিশেষত, হারটি ২০১০ এর দশকের শেষের দিকে শীর্ষে পৌঁছেছে, ১০৫% ছাড়িয়ে গেছে, যা বিশ্বব্যাপী প্রেক্ষাপটে বিবেচিত একটি উল্লেখযোগ্য অর্জন। এই প্রবণতা দেশের শিক্ষাগত অর্জনের অগ্রগতিকে তুলে ধরে তবে এই জাতীয় উচ্চ হার বজায় রাখতে শিক্ষানীতি বজায় রাখা এবং উন্নত করার গুরুত্বকেও জোর দেয়।"
